MSOA11CD,MSOA11NM,Local authority,covid_19_deaths,covid_19_deaths_per_thousand,total_population_mid_2018,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,child_poverty_prop,total_registered_patients,Hypertension,Obesity (18+),Diabetes,Asthma,Coronary heart disease
E02000001,City of London 001,City of London,3,0.344589938,8706,0.123592924,0.120794148,0.077742947,0.213694915,0.026169492,0.033627119,0.029288136,0.052592036,8584,7.95,3.62,2.7,3.08,1.5
E02000002,Barking and Dagenham 001,Barking and Dagenham,2,0.259067358,7720,0.10388601,0.345813205,0.31884058,0.350110701,0.167232472,0.04797048,0.039852399,0.273854962,8315,9.26,6.15,4.99,3.91,1.88
E02000003,Barking and Dagenham 002,Barking and Dagenham,3,0.271468645,11051,0.085965071,0.30909892,0.260850408,0.453857641,0.161075162,0.104629169,0.080836237,0.246671887,11873,10.33,7.6,5.79,4.64,1.83
E02000004,Barking and Dagenham 003,Barking and Dagenham,9,1.366535074,6586,0.124658366,0.311406578,0.265570329,0.190229699,0.104982206,0.016337755,0.007602718,0.201966717,6852,9.34,8.36,4.95,3.58,1.93
E02000005,Barking and Dagenham 004,Barking and Dagenham,5,0.488806335,10229,0.066282139,0.33713491,0.322392211,0.337304368,0.168768979,0.058747956,0.035155338,0.231935143,11150,9.37,8.79,5.15,4.26,1.47
E02000007,Barking and Dagenham 006,Barking and Dagenham,9,0.889064507,10123,0.0807073,0.350692354,0.361830223,0.328176544,0.227164145,0.026845638,0.008076442,0.289297068,10469,10.12,7.25,4.76,3.88,1.61
E02000008,Barking and Dagenham 007,Barking and Dagenham,10,0.791452315,12635,0.072497032,0.330408074,0.357393594,0.303569885,0.173740168,0.03569885,0.016336762,0.283377936,14107,10.26,8.89,5.58,4.24,1.57
E02000009,Barking and Dagenham 008,Barking and Dagenham,7,0.603864734,11592,0.047532781,0.33238068,0.331237496,0.388207266,0.188326385,0.071351995,0.031328172,0.280229746,13502,9.74,7.36,5.09,4.01,1.5
E02000010,Barking and Dagenham 009,Barking and Dagenham,6,0.652386648,9197,0.064586278,0.330713246,0.355458515,0.307951248,0.190481718,0.034010447,0.010795125,0.236261532,10488,10.45,9.12,4.86,3.61,1.46
E02000011,Barking and Dagenham 010,Barking and Dagenham,6,0.859229557,6983,0.092080768,0.32542251,0.307083783,0.336350412,0.185227089,0.047357362,0.027153709,0.253855279,7535,10.88,8.37,4.99,3.41,1.5
