ID,Borough,Ward,Constituency,Turnout,Ward Level Electorate,Winner,Sadiq Aman Khan - Labour Party,% Children aged 0-15,% Working-age 16-64,% Older people aged 65+,Median Age 2013,Population density 2013,% BAME 2011,% Not Born in UK 2011,General Fertility Rate 2013,Male life expectancy 2009_13,Female life expectancy 2009-13 ,% children in reception obese 2011_14,% children year 6 obese- 2011_14,"Rate Ambulance Incidents per 1,000 population - 2014",In employment (16-64) 2011,Number of jobs in area - 2013,Rate new migrant workers - 2011/12,No properties sold 2014,Median Household income 2012/13,% semi-detached houses 2011,% Households Private Rented 2011,% dwellings CT bands A or B 2015,"% dwellings CT bands F, G or H - 2015",Rate Claimant Housing Benefit 2015,Rate JobSeekers Allowance 2015,% dependent children in out-of-work households 2014,% Households No adults Employment dependent children 2011,% Lone parents no employment 2011,Average GCSE capped point scores 2014,% No qualifications 2011,% Level 4 and above qualifications 2011,Crime rate 2014_15,% area that is open space - 2014,Average Public Transport Accessibility score 2014,Turnout at Mayoral election 2012
1,Bexley,Barnehurst,Bexley & Bromley,"2,758","6,886",Zac Goldsmith,588,18.66867811,62.04978314,19.28153875,41,3672.4,9.8,8,70.25641026,79.53363992,85.3511619,9.066666667,24.84848485,126.8236865,4958,2200,5.925925926,228,38200,54.8,8.3,6.741573034,4.494382022,5.843453168,1.448995363,11.02040816,3.330970943,38.01369863,326.2982456,23.1,20.1,46.46121949,35.97805192,3.135915766,35.06703993
2,Bexley,Belvedere,Bexley & Bromley,"2,675","7,506",Zac Goldsmith,957,23.17485898,63.9081386,12.91700242,35,3828.1,28.4,20.4,70.56603774,78.11875411,86.86703455,11.79673321,28.37209302,122.3506744,5439,3800,18.54304636,246,33510,25.8,18.6,23.93822394,1.351351351,12,2.425614489,21.57142857,6.147795487,42.57602862,306.1392638,23.7,21.9,61.96354124,33.13320693,2.752564148,31.93379088
3,Bexley,Blackfen And Lamorbey,Bexley & Bromley,"3,011","6,974",Zac Goldsmith,613,18.34733894,62.59570495,19.05695612,42,6352.9,7.3,7.1,55.5,82.87659278,87.6472574,8.498583569,20,84.38544374,5157,1100,2.857142857,182,40780,50.4,8.1,3.044496487,5.854800937,2.941526736,1.125070317,7.2,1.996151996,26.72064777,332.8385185,22.4,19.3,28.75695733,9.484078371,2.051587362,35.88755708
4,Bexley,Blendon And Penhill,Bexley & Bromley,"3,050","6,993",Zac Goldsmith,546,17.97364834,62.57155838,19.45479328,41,5285.7,9.5,7.8,57.56097561,82.56566362,86.05067195,9.695290859,15.78947368,80.26363308,5336,1500,3.03030303,208,40340,46.8,8.1,2.974828375,13.50114416,2.982987649,0.825536599,5.68627451,2.199101442,28.35820896,340.1451852,21.5,19.6,37.66937669,13.77061563,2.0657379,38.66311659
5,Bexley,Brampton,Bexley & Bromley,"3,311","6,902",Zac Goldsmith,707,16.55978876,60.10939268,23.33081856,45,5350,13.1,10.4,54.44444444,82.8954875,87.03918981,6.111111111,23.7012987,96.54205607,4995,1700,4.580152672,146,40790,73,5.7,4.988123515,6.888361045,2.855136906,0.903070439,5.555555556,1.946647441,34.09090909,325.3616822,22.9,20.7,26.34045744,9.101076785,2.665178931,41.21306376
6,Bexley,Christchurch,Bexley & Bromley,"2,854","6,920",Zac Goldsmith,702,18.09540574,63.33392008,18.57067418,41,4500,13.4,11.5,62.27272727,80.39635989,82.77561602,11.76470588,14.23487544,162.3434705,5368,8800,7.194244604,197,40190,46.9,14.2,5.831533477,10.79913607,4.983760779,1.686190983,12.70833333,2.779645819,33.4519573,342.8740157,21,24.9,97.50687605,17.29058481,3.422257225,34.93053587
7,Bexley,Colyers,Bexley & Bromley,"2,208","6,287",Zac Goldsmith,581,22.25245787,62.73700843,15.01053371,36,7093.8,17.7,12.3,60,78.30446509,84.74320886,11.06094808,26.64907652,111.8111717,4951,800,9.219858156,131,34450,50.7,7,18.42751843,1.71990172,9.746359793,2.304147465,17.21311475,7.228371358,51.93482688,298.2969231,25.1,18.1,39.48876157,12.98571756,2.0485193,27.98634812
8,Bexley,Cray Meadows,Bexley & Bromley,"2,693","6,958",Zac Goldsmith,661,20.84251344,61.45236626,17.7051203,39,1583.3,11,9.9,70,79.84265517,83.6373365,14.01425178,25.3968254,132.6601671,4952,7200,3.571428571,175,35530,44.4,9.3,14.49275362,7.867494824,11.23287671,1.750506726,19.49152542,5.523688124,49.29906542,324.9230216,25.1,22.2,54.25606753,61.65163173,2.315611368,31.64325843
9,Bexley,Crayford,Bexley & Bromley,"2,550","7,624",Zac Goldsmith,687,20.85252491,64.57583117,14.57164392,37,2925,11.7,10,69.58333333,79.51077399,84.05707007,10.13513514,19.55922865,118.0243212,5236,7300,6.015037594,264,34900,40.9,10.5,24.81617647,0.183823529,10.54735547,2.015191443,16.41791045,4.764916719,42.07920792,301.3769784,25.3,18.6,62.15800274,41.65727741,2.0535666,30.45735129
10,Bexley,Danson Park,Bexley & Bromley,"2,806","6,768",Zac Goldsmith,634,18.29013188,63.75625284,17.95361528,40,4092.6,16.2,13.2,55.81395349,81.17725996,83.0585029,11.46666667,22.91666667,125.6139713,5217,2800,4.929577465,158,38580,46.4,11.2,8.278867102,8.932461874,6.07347876,1.187214612,11.83673469,3.368515607,34.51327434,337.0016667,23,21.6,54.02465555,36.35789075,2.937262131,34.24579413
