Borough,Neighborhood,Latitude,Longitude
Barking and Dagenham,Abbey,51.539822,0.081291
Barking and Dagenham,Alibon,51.545921,0.150987
Barking and Dagenham,Becontree,51.552601,0.116912
Barking and Dagenham,Chadwell Heath,51.583420,0.138596
Barking and Dagenham,Eastbrook,51.555191,0.173453
Barking and Dagenham,Eastbury,51.535809,0.104756
Barking and Dagenham,Gascoigne,51.532581,0.085704
Barking and Dagenham,Goresbrook,51.536041,0.132641
Barking and Dagenham,Heath,51.558689,0.152931
Barking and Dagenham,Longbridge,51.544430,0.093644
Barking and Dagenham,Mayesbrook,51.545189,0.120332
Barking and Dagenham,Parsloes,51.549831,0.135348
Barking and Dagenham,River,51.524502,0.152645
Barking and Dagenham,Thames,51.524078,0.119742
Barking and Dagenham,Valence,51.561230,0.135925
Barking and Dagenham,Village,51.536591,0.166611
Barking and Dagenham,Whalebone,51.568272,0.141911
Barnet,Brunswick Park,51.627602,-0.145880
Barnet,Burnt Oak,51.602798,-0.261130
Barnet,Childs Hill,51.565289,-0.202910
Barnet,Colindale,51.592018,-0.248260
Barnet,Coppetts,51.610748,-0.152070
Barnet,East Barnet,51.646141,-0.158970
Barnet,East Finchley,51.594879,-0.170630
Barnet,Edgware,51.626431,-0.284200
Barnet,Finchley Church End,51.596809,-0.201180
Barnet,Garden Suburb,51.580761,-0.181120
Barnet,Golders Green,51.570889,-0.214770
Barnet,Hale,51.630058,-0.254770
Barnet,Hendon,51.591431,-0.224580
Barnet,High Barnet,51.655411,-0.210430
Barnet,Mill Hill,51.613972,-0.223310
Barnet,Oakleigh,51.637192,-0.170720
Barnet,Totteridge,51.626591,-0.200590
Barnet,Underhill,51.644569,-0.209390
Barnet,West Finchley,51.607811,-0.188790
Barnet,West Hendon,51.578171,-0.235050
Barnet,Woodhouse,51.611301,-0.170480
Bexley,Barnehurst,51.457180,0.164272
Bexley,Belvedere,51.486969,0.149278
Bexley,Blackfen and Lamorbey,51.445210,0.090901
Bexley,Blendon and Penhill,51.445549,0.118562
Bexley,Brampton,51.469471,0.141874
Bexley,Christchurch,51.456249,0.142132
Bexley,Colyers,51.470901,0.168954
Bexley,Crayford,51.454269,0.182962
Bexley,Cray Meadows,51.422661,0.131197
Bexley,Danson Park,51.456501,0.118768
Bexley,East Wickham,51.467892,0.097468
Bexley,Erith,51.488720,0.169598
Bexley,Falconwood and Welling,51.457958,0.092262
Bexley,Lesnes Abbey,51.483250,0.132596
Bexley,Longlands,51.428249,0.093306
Bexley,North End,51.470070,0.197151
Bexley,Northumberland Heath,51.475460,0.153460
Bexley,St Mary's,51.438702,0.143771
Bexley,St Michael's,51.471420,0.118020
Bexley,Sidcup,51.437561,0.102077
Bexley,Thamesmead East,51.500919,0.136606
Brent,Alperton,51.541168,-0.294890
Brent,Barnhill,51.571350,-0.279950
Brent,Brondesbury Park,51.542351,-0.220450
Brent,Dollis Hill,51.564240,-0.236760
Brent,Dudden Hill,51.555229,-0.240430
Brent,Fryent,51.581821,-0.266840
Brent,Harlesden,51.540741,-0.249540
Brent,Kensal Green,51.535149,-0.237320
Brent,Kenton,51.580299,-0.303920
Brent,Kilburn,51.539268,-0.199560
Brent,Mapesbury,51.554371,-0.220510
Brent,Northwick Park,51.572060,-0.317240
Brent,Preston,51.564209,-0.296000
Brent,Queens Park,51.535278,-0.212880
Brent,Queensbury,51.592579,-0.273660
Brent,Stonebridge,51.539082,-0.269890
Brent,Sudbury,51.555119,-0.315620
Brent,Tokyngton,51.552959,-0.279850
Brent,Welsh Harp,51.565880,-0.257340
Brent,Wembley Central,51.550072,-0.296560
Brent,Willesden Green,51.544640,-0.238870
Bromley,Bickley,51.402390,0.046418
Bromley,Biggin Hill,51.313690,0.023113
Bromley,Bromley Common and Keston,51.369839,0.041692
Bromley,Bromley Town,51.405079,0.015337
Bromley,Chelsfield and Pratts Bottom,51.344551,0.112379
Bromley,Chislehurst,51.413441,0.075659
Bromley,Clock House,51.406631,-0.043690
Bromley,Copers Cope,51.412430,-0.019680
Bromley,Cray Valley East,51.394260,0.126714
Bromley,Cray Valley West,51.400162,0.103050
Bromley,Crystal Palace,51.415611,-0.068920
Bromley,Darwin,51.322208,0.047142
Bromley,Farnborough and Crofton,51.364491,0.067413
Bromley,Hayes and Coney Hall,51.372082,0.007927
Bromley,Kelsey and Eden Park,51.391380,-0.031570
Bromley,Mottingham and Chislehurst North,51.432011,0.041613
Bromley,Orpington,51.371811,0.108949
Bromley,Penge and Cator,51.415760,-0.048730
Bromley,Petts Wood and Knoll,51.388340,0.077010
Bromley,Plaistow and Sundridge,51.417610,0.024231
Bromley,Shortlands,51.396870,-0.003180
Bromley,West Wickham,51.376801,-0.011460
Camden,Belsize,51.546730,-0.166430
Camden,Bloomsbury,51.521900,-0.132560
Camden,Camden Town with Primrose Hill,51.540852,-0.149340
Camden,Cantelowes,51.544868,-0.133890
Camden,Fortune Green,51.553070,-0.200140
Camden,Frognal and Fitzjohns,51.556160,-0.183800
Camden,Gospel Oak,51.552441,-0.155070
Camden,Hampstead Town,51.560299,-0.174420
Camden,Haverstock,51.546791,-0.152700
Camden,Highgate,51.563042,-0.153410
Camden,Holborn and Covent Garden,51.518978,-0.114660
Camden,Kentish Town,51.551701,-0.139290
Camden,Kilburn,51.540352,-0.187410
Camden,King's Cross,51.526981,-0.122350
Camden,Regent's Park,51.530571,-0.141840
Camden,St Pancras and Somers Town,51.534859,-0.131180
Camden,Swiss Cottage,51.541569,-0.170750
Camden,West Hampstead,51.548279,-0.189200
