objectid,wd16cd,wd16nm,wd16nmw,lad16cd,lad16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,E09000002,Barking and Dagenham,544434,184378,0.081291,51.53982162,1181482.929,5769.18927
2,E05000027,Alibon, ,E09000002,Barking and Dagenham,549247,185196,0.150987,51.54592133,1344130.24,5778.856484
3,E05000028,Becontree, ,E09000002,Barking and Dagenham,546863,185869,0.116912,51.55260086,1369326.89,5650.588366
4,E05000029,Chadwell Heath, ,E09000002,Barking and Dagenham,548266,189340,0.138596,51.5834198,3281309.516,8145.666991
5,E05000030,Eastbrook, ,E09000002,Barking and Dagenham,550774,186272,0.173453,51.55519104,3416543.705,8249.274136
6,E05000031,Eastbury, ,E09000002,Barking and Dagenham,546074,183978,0.104756,51.53580856,1403338.441,6404.207515
7,E05000032,Gascoigne, ,E09000002,Barking and Dagenham,544763,183581,0.085704,51.53258133,1255401.062,5597.967304
8,E05000033,Goresbrook, ,E09000002,Barking and Dagenham,548007,184060,0.132641,51.53604126,1182516.014,4952.809218
9,E05000034,Heath, ,E09000002,Barking and Dagenham,549340,186620,0.152931,51.55868912,2005197.622,6784.475555
10,E05000035,Longbridge, ,E09000002,Barking and Dagenham,545276,184914,0.093644,51.54442978,1759272.448,6038.677452
11,E05000036,Mayesbrook, ,E09000002,Barking and Dagenham,547124,185052,0.120332,51.5451889,1826454.585,7002.463984
12,E05000037,Parsloes, ,E09000002,Barking and Dagenham,548150,185599,0.13534801,51.54983139,1232990.881,5915.234002
13,E05000038,River, ,E09000002,Barking and Dagenham,549432,182817,0.15264501,51.5245018,3394153.395,8862.647285
14,E05000039,Thames, ,E09000002,Barking and Dagenham,547151,182704,0.119742,51.52407837,6599589.187,11991.37699
15,E05000040,Valence, ,E09000002,Barking and Dagenham,548153,186867,0.13592499,51.56122971,1237836.484,5108.278827
16,E05000041,Village, ,E09000002,Barking and Dagenham,550361,184190,0.166611,51.53659058,2137135.117,7137.268186
17,E05000042,Whalebone, ,E09000002,Barking and Dagenham,548545,187662,0.141911,51.56827164,1602805.546,5990.733656
18,E05000043,Brunswick Park, ,E09000003,Barnet,528433,193715,-0.14588,51.62760162,3121370.704,7594.3272
19,E05000044,Burnt Oak, ,E09000003,Barnet,520522,190761,-0.26113001,51.60279846,2129846.344,5734.399644
20,E05000045,Childs Hill, ,E09000003,Barnet,524656,186687,-0.20291001,51.56528854,3056001.173,8296.1717
21,E05000046,Colindale, ,E09000003,Barnet,521442,189584,-0.24826001,51.59201813,2419947.258,7508.665887
22,E05000047,Coppetts, ,E09000003,Barnet,528052,191830,-0.15207,51.61074829,2671966.924,7189.028263
23,E05000048,East Barnet, ,E09000003,Barnet,527475,195754,-0.15897,51.64614105,3614684.795,8752.457236
